,tea_name,tea_origin,tea_star,tea_price,tea_availability,tea_link
26,"Shogyokuen: Premium Gyokuro, Fuji no Tsuyu 富士の露",Shogyokuen Tea Factory, 8 ,"From JPY ¥1,000",Available,https://yunomi.life//collections/green-tea/products/shogyokuen-premium-gyokuro-fuji-no-tsuyu
27,Obubu Tea: Sakura Flowers Herbal Tea,Kyoto Obubu Tea Farms, 1 ,From JPY ¥249,Available,https://yunomi.life//collections/green-tea/products/obubu-tea-sakura-flowers-herbal-tea-100g
28,Obubu GE01: Genmaicha Brown Rice Tea,Kyoto Obubu Tea Farms, 10 ,From JPY ¥799,Available,https://yunomi.life//collections/green-tea/products/obubu-16-genmaicha-brown-rice-tea
29,"Yamane-en: Sugabow, Gyokuro Karigane Hojicha",Yamane-en, 5 ,From JPY ¥500,Available,https://yunomi.life//collections/green-tea/products/yamane-en-sugabou-gyokuro-karigane-hojicha
30,"KU001 Tomizawa Tea Garden: 2021 Kabusecha Yabukita Kumamoto Guricha ""Green Tea.Lab"" 単01 薮北 かぶせ茶",Tomizawa Tea Garden, 7 ,From JPY ¥499,Available,https://yunomi.life//collections/green-tea/products/tomizawa-tea-garden-kabusecha-yabukita-kumamoto-guricha-green-tea
31,"KU004 Tomizawa Tea Garden: 2021 Kabusecha Okuyutaka Kumamoto Guricha ""Green Tea.Lab"" かぶせ茶",Tomizawa Tea Garden, 7 ,From JPY ¥800,Available,https://yunomi.life//collections/green-tea/products/tomizawa-tea-garden-kabusecha-okuyutaka-kumamoto-guricha-green-tea
32,Yunomi Matcha Naturally Grown - Basic Ceremonial Grade,Yunomi Tea, 10 ,"From JPY ¥1,499",Available,https://yunomi.life//collections/green-tea/products/yunomi-matcha-naturally-grown-basic-ceremonial-grade
33,Furuichi Seicha #12: 2021 Warakake - Straw Shaded Fukamushicha by Farmer Kuwazuru Sumiyoshi わらかけ,Furuichi Seicha, 5 ,From JPY ¥700,"In stock, 7 units",https://yunomi.life//collections/green-tea/products/furuichi-seicha-warakake-straw-shaded-fukamushicha
34,Furuichi Seicha: #13 Karigane Kukicha Green Tea かりがね(茎茶),Furuichi Seicha, 9 ,From JPY ¥500,Available,https://yunomi.life//collections/green-tea/products/furuichi-seicha-kukicha-green-tea-200-g
35,Nishide OG18: Organic Uji Gyokuro 宇治茶 有機玉露,Nishide Tea Factory, 4 ,"From JPY ¥1,000",Available,https://yunomi.life//collections/green-tea/products/nishide-organic-uji-gyokuro
36,"Cultivar Comparison (30g x 3 types, 26% off): Azuma Tea Garden Matcha Sampler - Kanaya Midori, Okumidori, and Samidori",Azuma Tea Garden, 2 ,"JPY ¥4,999",Available,https://yunomi.life//collections/green-tea/products/azuma-matcha-cultivar-series-set
37,Furyu: Bancha Goishicha ふりゅう 碁石茶,Furyu Bancha Specialty Shop, 12 ,From JPY ¥700,Available,https://yunomi.life//collections/green-tea/products/furyu-bancha-goishicha
38,"Kanes Tea: Honyama Togen ""Marishi"" - Limited Handpicked First Flush, Spring 2021 本山桃源",Kanes Tea Factory, 0 ,"JPY ¥3,999","In stock, 16 units",https://yunomi.life//collections/green-tea/products/kanes-tea-honyama-togen-marishi-limited-handpicked-first-flush-spring
39,Dokodemosora #01: Naturally Grown Wakayama Tamaryokucha,Dokodemosora Tea Farm, 8 ,"From JPY ¥1,499",Available,https://yunomi.life//collections/green-tea/products/dokodemosora-01-naturally-grown-wakayama-tamaryokucha
40,Obubu Tea: Hojicha Gold Roast,Kyoto Obubu Tea Farms, 4 ,From JPY ¥680,Available,https://yunomi.life//collections/green-tea/products/obubu-tea-houjicha-gold-roast
41,Hachimanjyu: Organic Yakushima Standard Unshaded Spring Sencha 有機屋久島茶路地栽培,Hachimanjyu Yakushima Tea, 6 ,From JPY ¥430,Available,https://yunomi.life//collections/green-tea/products/hachimanjyu-organic-yakushima-standard-sencha-green-tea
42,Kaneroku Matsumoto Tea Garden: Wasencha Midori Sencha Green Tea　和煎茶みどり,Kaneroku Matsumoto Tea Garden, 2 ,From JPY ¥580,Available,https://yunomi.life//collections/green-tea/products/kaneroku-matsumoto-tea-garden-wasencha-midori-fukamushicha
43,"NaturaliTea #02: Sencha Green Tea, Spring Midori First Flush 春の香みどり",NaturaliTea, 1 ,From JPY ¥950,Available,https://yunomi.life//collections/green-tea/products/naturalitea-02-sencha-green-tea-spring-midori-first-flush-2014-2015
44,"Shogyokuen: Heritage Gyokuro, Kyoto Shogyoku, Special Selection　特製祥玉",Shogyokuen Tea Factory, 5 ,"From JPY ¥1,500",Available,https://yunomi.life//collections/green-tea/products/shogyokuen-heritage-gyokuro-kyoto-shogyoku-special-selection
45,Miyano Tea Factory: 2020 Imperial Handpicked Sayama Sencha 極上品 手摘み茶,Miyano Tea Factory, 1 ,"From JPY ¥1,100",Available,https://yunomi.life//collections/green-tea/products/miyano-tea-factory-imperial-handpicked-sayama-sencha
46,"Takeo Tea Farm: Organic Spring Sencha Green Tea, Kodawari #3 Superior 上こだわり",Takeo Tea Farm, 9 ,From JPY ¥899,Available,https://yunomi.life//collections/green-tea/products/takeo-tea-farm-organic-spring-sencha-green-tea-kodawari-3-superior
47,"Obubu: Kabuse Sencha, Shaded Spring Green Tea",Kyoto Obubu Tea Farms, 7 ,From JPY ¥600,Available,https://yunomi.life//collections/green-tea/products/obubu-01-kabuse-sencha-shaded-spring-green-tea
48,"Kyoto Kouyoucha, Ume shiso konbu matcha blend by Kouyoudo - 2g x 12 packets",Kouyoudo, 10 ,"JPY ¥1,180",Available,https://yunomi.life//collections/green-tea/products/kouyoudo-kouyoucha-ume-shiso-konbu-matcha-blend-from-kyoto
49,"Kanaya Shuho 金谷秀峰 by Kanes Tea Factory, Limited Handrolled First Flush, April 2021 Asamushicha",Kanes Tea Factory, 1 ,"JPY ¥3,999","In stock, 17 units",https://yunomi.life//collections/green-tea/products/kanaya-shuho-by-kanes-tea-factory-limited-handrolled-first-flush-spring-asamushicha
50,Miyano Tea Factory: Sayama Premium Gyokuro 狭山本玉露,Miyano Tea Factory, 0 ,"From JPY ¥1,000",Available,https://yunomi.life//collections/green-tea/products/miyano-tea-factory-sayama-premium-gyokuro
51,Miyano Tea Factory: Sayama Heritage Gyokuro 特上品 狭山本玉露,Miyano Tea Factory, 1 ,"From JPY ¥1,200",Available,https://yunomi.life//collections/green-tea/products/miyano-tea-factory-sayama-heritage-gyokuro
52,"Obubu Matcha: Uji Hikari Cultivar (25g) from Wazuka, Kyoto.",Kyoto Obubu Tea Farms, 3 ,"JPY ¥2,499",Available,https://yunomi.life//collections/green-tea/products/obubu-matcha-uji-hikari-cultivar-25g
53,"Shogyokuen: Matcha Shogyoku, Imperial Ceremonial Grade (40g can, Spring Harvest) 祥玉",Shogyokuen Tea Factory, 4 ,"From JPY ¥4,500",Available,https://yunomi.life//collections/green-tea/products/shogyokuen-matcha-shogyoku
54,Tea Farmer Shinichi Kihara SKH003: Naturally Grown Kyobancha 京番茶 (Winter-roasted green tea leaves),Shinichi Kihara, 11 ,From JPY ¥500,Available,https://yunomi.life//collections/green-tea/products/kihara-naturally-grown-kyobancha-winter-roasted-green-tea-leaves
55,Furyu: Awa Bancha ふりゅう 阿波番茶,Furyu Bancha Specialty Shop, 4 ,From JPY ¥400,Available,https://yunomi.life//collections/green-tea/products/furyu-awa-bancha
56,"Furuichi Seicha: #02 Organic Kagoshima Sencha, Midori no Daichi (Wa) かごしま　有機緑茶『みどりの大地(和）』",Furuichi Seicha, 4 ,From JPY ¥500,Available,https://yunomi.life//collections/green-tea/products/furuichi-seicha-organic-kagoshima-sencha-midori-no-daichi-wa
57,"Shogyokuen: Heritage Grade Matcha, Kakuun (40g can, Spring Harvest) 鶴雲",Shogyokuen Tea Factory, 1 ,"JPY ¥6,500",Available,https://yunomi.life//collections/green-tea/products/shogyokuen-heritage-grade-matcha-kakuun-40g-can
58,"Morita Tea Garden #02: Sayama Sencha, Kakurei 鶴齢",Morita Tea Garden, 15 ,From JPY ¥650,Available,https://yunomi.life//collections/green-tea/products/fujiichi-morita-02-sayama-sencha-kakurei
59,Matcha Bamboo Whisk (Chasen) - Small Size for 野点 - noten - outdoor use,Yunomi Lifestyle, 0 ,"JPY ¥1,500","In stock, 21 units",https://yunomi.life//collections/green-tea/products/matcha-bamboo-whisk-chasen-small
60,Nishide G10: Standard Uji Gyokuro 宇治玉露,Nishide Tea Factory, 6 ,From JPY ¥600,Available,https://yunomi.life//collections/green-tea/products/nishide-uji-gyokuro
61,"Nakai Tea Farm: Uji Matcha Seisho (Okumidori) Standard Ceremonial Grade, Wazuka, Kyoto",Nakai Tea Farm, 2 ,"JPY ¥1,799",Available,https://yunomi.life//collections/green-tea/products/nakai-tea-farm-ceremonial-matcha-seisho
62,Nishide G15: Superior Uji Gyokuro 上宇治玉露,Nishide Tea Factory, 4 ,From JPY ¥800,Available,https://yunomi.life//collections/green-tea/products/nishide-superior-uji-gyokuro
63,NaturaliTea #10: Kukicha Midori (Stem Tea),NaturaliTea, 3 ,From JPY ¥500,Available,https://yunomi.life//collections/green-tea/products/naturalitea-kukicha-midori-stem-tea
64,"NaturaliTea #05: Sencha Green Tea, Setoya Midori 有機一番摘み煎茶　瀬戸谷みどり",NaturaliTea, 3 ,From JPY ¥500,Available,https://yunomi.life//collections/green-tea/products/naturalitea-05-sencha-green-tea-setoya-midori
65,Morita Tea Garden #04: Sayama Karigane (Premium Stem Tea) 雁が音,Morita Tea Garden, 5 ,JPY ¥300,Available,https://yunomi.life//collections/green-tea/products/toichi-morita-04-sayama-karigane-premium-stem-tea
66,"Nishide G30: Competition Grade, Handpicked Uji Gyokuro 宇治茶品評会出品手摘み玉露",Nishide Tea Factory, 3 ,From JPY ¥800,Available,https://yunomi.life//collections/green-tea/products/nishide-competition-grade-uji-gyokuro
